line,verse,part,text
1,1,2,แต่ปางหลังครั้งว่างพระศาสนา
2,1,3,เป็นปฐมสมมตินิทานมา
3,1,4,ด้วยปัญญายังประวิงทั้งหญิงชาย
4,2,1,ฉันชื่อภู่รู้เรื่องประจักษ์แจ้ง
5,2,2,จึงแสดงคำคิดประดิษฐ์ถวาย
6,2,3,ตามสติริเริ่มเรื่องนิยาย
7,2,4,ให้เพริศพรายพริ้งเพราะเสนาะกลอน
8,3,1,จะร่ำปางนางสวรรค์เสวยสุข
9,3,2,อยู่ปรางค์มุขพิมานสโมสร
10,3,3,เผยพระแกลแลดูแผ่นดินดอน
11,3,4,เห็นไกรสรคลอดลูกในหิมวา
12,4,1,ผลกรรมนำจิตให้พิศวาส
13,4,2,นุชนาฏจะใคร่มีโอรสา
14,4,3,เห็นพระสุริโยทัยเธอไคลคลา
15,4,4,กัลยานึกไปดังใจปอง
16,5,1,แม้นสามีมิได้เหมือนพระอาทิตย์
17,5,2,ไม่ขอคิดสมสู่เป็นคู่สอง
18,5,3,ผลกรรมจำจากวิมานทอง
19,5,4,นางก็ต้องจุติด้วยใจตน
20,6,1,เห็นสระศรีมีบัวระดาดาษ
21,6,2,สุดสวาทจิตประหวัดเข้าปัฏิสนธิ์
22,6,3,เกิดเป็นรูปนารีนิรมล
23,6,4,กลีบอุบลหุ้มไว้ในสาคร
24,7,1,อยู่ประมาณนานมาในบัวหลวง
25,7,2,สุดาดวงกำดัดชมสมสมร
26,7,3,จะกล่าวถึงสุริยาทิพากร
27,7,4,เสด็จจรเลี้ยวเหลี่ยมพระเมรุมา
28,8,1,อรุณโรจน์โชติช่วงดวงจรัส
29,8,2,ส่องจังหวัดภาคพื้นพระเวหา
30,8,3,พิศเพ่งเล็งแลในโลกา
31,8,4,เห็นนางฟ้าอยู่ในพุ่มปทุมมาลย์
32,9,1,เพราะรักเราเจ้าต้องมาสิ้นชีพ
33,9,2,เกิดในกลีบบุษบงน่าสงสาร
34,9,3,จำจะช่วยให้อนงค์คงวิมาน
35,9,4,พระสุริยกาลโสมนัสสวัสดี
36,10,1,จึ่งแบ่งภาคจากรถระเห็จเหาะ
37,10,2,ลงเฉพาะสระใหญ่ในไพรศรี
38,10,3,พระหัตถ์หักปทุมาจากวารี
39,10,4,มานั่งที่ร่มไทรในไพรวัน
40,11,1,คลี่ปทุมอุ้มนางขึ้นวางตัก
41,11,2,แม่ยอดรักปิ่นสุรางค์นางสวรรค์
42,11,3,กุศลเราเคยสมภิรมย์กัน
43,11,4,บุญจึ่งบันดาลใจให้เจาะจง
44,12,1,พี่พึ่งรู้ว่าเจ้าอยู่ในโกเมศ
45,12,2,จึ่งประเวศติดตามด้วยความประสงค์
46,12,3,จะช่วยเจ้าเยาวลักษณ์วิไลทรง
47,12,4,ให้คืนคงเมืองฟ้าสุราลัย
48,13,1,ปางยุพินปิ่นเทพอัปสร
49,13,2,ฟังสุนทรสุริยงคิดสงสัย
50,13,3,นางผลักพลางทางแลชำเลืองไป
51,13,4,งามวิไลพูนสวัสดิ์ชัชวาล
52,14,1,ถึงเทพบุตรสุดสิ้นในอากาศ
53,14,2,ไม่ผุดผาดผิวพรรณเทียมสัณฐาน
54,14,3,นางค้อนคมก้มพักตร์แล้วพจมาน
55,14,4,ไม่ควรการช่างไม่เกรงข่มเหงกัน
56,15,1,เทพบุตรภุชงค์หรือวงศ์ยักษ์
57,15,2,มาหาญหักปทุมมาศขาดสะบั้น
58,15,3,เขาอาศัยได้สบายในบุษบัน
59,15,4,ทำเช่นนั้นช่างไม่คิดอนิจจัง
60,16,1,โอ้เจ้าพี่ศรีสวัสดิ์กำดัดสวาท
61,16,2,นุชนาฏแม่อย่าลืมเนื้อความหลัง
62,16,3,หรือชอบใจอยู่ที่ในอุบลบัง
63,16,4,สมบัติทั้งเมืองฟ้าไม่อาวรณ์
64,17,1,พี่หรือคือสุริยงดำรงทวีป
