line,verse,part,text
1,1,2,จะริเริ่มเรื่องร้างปางประถม
2,1,3,สุดเสียดายด้วยนิยายจะจ่อมจม
3,1,4,จึ่งนิยมแต่งบทพจนา
4,2,1,ยังมีราชนรินทร์ปิ่นกระษัตริย์
5,2,2,พรหมทัตจอมทศทิศา
6,2,3,ดำรงเมืองเรืองฤทธิ์อิศรา
7,2,4,เป็นมหาจักรพาลสำราญรมย์
8,3,1,มีเอกองค์วิไลละไมโฉม
9,3,2,งามประโลมท้าวถนอมเป็นจอมสนม
10,3,3,ชื่อสุวรรณอำภาดูน่าชม
11,3,4,เสวยสมบัติสบายมาหลายปี
12,4,1,เกิดราชบุตรชายสายกระษัตริย์
13,4,2,จำเริญรูปเทียมทัดท้าวโกสีย์
14,4,3,ครั้นบุตราชันษาได้แปดปี
15,4,4,พระภูมีเฉลิมนามพระลูกยา
16,5,1,ชื่อเจ้าลักษณวงศ์ทรงสวัสดิ์
17,5,2,สองกระษัตริย์แสนสุดเสน่หา
18,5,3,วันหนึ่งท้าวพรหมทัตกระษัตรา
19,5,4,พระไสยาบนปัจถรณ์ให้ร้อนทรวง
20,6,1,นึกจะพาลูกรักอัคเรศ
21,6,2,ไปเที่ยวชมหิมเวศภูเขาหลวง
22,6,3,พอภาณุมาศผาดเผ่นขึ้นเด่นดวง
23,6,4,สั่งกระทรวงเสนามิช้านาน
24,7,1,ให้ผูกช้างพระที่นั่งบัลลังก์รถ
25,7,2,กับทั้งทศโยธาอันกล้าหาญ
26,7,3,ทั้งอาชาม้าทรงยงทะยาน
27,7,4,ทั้งขนานนางขนัดให้จัดจร
28,8,1,มนตรีกราบกรุงกระษัตริย์มาจัดทัพ
29,8,2,เลือกสลับเกณฑ์แห่แลสลอน
30,8,3,ธนูง้าวหลาวโล่แลโตมร
31,8,4,ผูกกุญชรพระที่นั่งบัลลังก์รถ
32,9,1,มาประเทียบเรียบคอยอยู่เกยแก้ว
33,9,2,ก็พร้อมแล้วสรรพเสร็จสำเร็จหมด
34,9,3,พรหมทัตขัตติยวงศ์พระทรงยศ
35,9,4,กับโอรสอัคเรศเข้าสรงชล
36,10,1,ฝักบัวแก้วปรูปรายดั่งทรายสาด
37,10,2,กระจายฟาดฟูมฟองละอองฝน
38,10,3,นํ้ากุหลาบอาบองค์ทรงสุคนธ์
39,10,4,ทรงเครื่องต้นตามศักดิ์จักรพรรดิ
40,11,1,นางเถ้าแก่แห่ห้อมล้อมไสว
41,11,2,เครื่องสำอางนางในเป็นขนัด
42,11,3,นางโฉมยงทรงรถบัลลังก์รัตน์
43,11,4,พรหมทัตทรงพญาคเชนทร
44,12,1,ที่นั่งพังหลังสัปคับคร่อม
45,12,2,แต่ล้วนหม่อมชาววังนั่งสลอน
46,12,3,ให้เลิกพลโยธาพลากร
47,12,4,จากนครเข้าป่าพนาวัน
48,13,1,พอเบี่ยงบ่ายชายแสงสุริยใส
49,13,2,ถึงราวไพรพฤกษาวนาสัณฑ์
50,13,3,สามกระษัตริย์ชมเพลินเจริญครัน
51,13,4,พลขันธ์รื่นเริงบันเทิงนัก
52,14,1,นางชาววังแหวกม่านประสานเสียง
53,14,2,เห็นข้างเคียงฉวยคว้าพฤกษาหัก
54,14,3,เห็นอะไรก็ให้กำเริบรัก
55,14,4,ไม่รู้จักหมามุ้ยเอามือทึ้ง
56,15,1,ละอองลูกถูกเนื้อมันเหลือเล่ห์
57,15,2,สมคะเนเกาสนุกลุกทะลึ่ง
58,15,3,พวกขอเฝ้าเหล่าโขลนตะโกนอึง
59,15,4,ใบตำลึงหม่อมจ๋าแก้หมามุ้ย
60,16,1,ระยะหลังยังพวกนางทาสา
61,16,2,เดนขี้ข้าชาววังรังกะตุ๋ย
62,16,3,ถูกสำรับกับพวกเจ้ารุกรุย
63,16,4,ทำใบ้บุ้ยขอหมากฝากอาลัย
64,17,1,ทั้งกองทัพเพลิดเพลินเจริญจิต
65,17,2,ชวนกันพิศเนื้อนกวิหคไสว
66,17,3,จะกล่าวถึงอสุรีขินีไพร
67,17,4,เป็นเมียไอ้เงาะป่าพนาลี
68,18,1,วันนั้นออกจากศาลาเที่ยวหาปู
69,18,2,พอปะงูขบเงาะนั้นเป็นผี
70,18,3,ครั้นสิ้นบุญผัวรักยักขินี
71,18,4,ก็โศกีมาในอรัญวา
72,19,1,พอประสบพบพวกโยธาทัพ
73,19,2,ยืนขยับเยี่ยมมองตามช่องผา
