line,verse,part,text
1,1,2,โอ้อาไลยใจหายเปนห่วงหวง
2,1,3,ดังศรศักดิ์ปักช้ำระกำทรวง
3,1,4,เสียดายดวงจันทราพงางาม
4,2,1,เจ้าคุมแค้นแสนโกรธพิโรธพี่
5,2,2,แต่เดือนยี่จนย่างเข้าเดือนสาม
6,2,3,จนพระหน่อสุริยวงศ์ทรงพระนาม
7,2,4,จากอารามแรมร้างทางกันดาร
8,3,1,ด้วยเรียมรองมุลิกาเปนข้าบาท
9,3,2,จำนิราศร้างนุชสุดสงสาร
10,3,3,ตามเสด็จเสร็จโดยแดนกันดาร
11,3,4,นมัสการรอยบาทพระศาสดา
12,4,1,วันจะจรจากน้องสิบสองค่ำ
13,4,2,พอจวนย่ำรุ่งเร่งออกจากท่า
14,4,3,รำฦกถึงดวงจันทร์ครรไลลา
15,4,4,พี่ตั้งตาแลแต่ตามแพราย
16,5,1,ที่ประเทศเขตรเคยได้เห็นเจ้า
17,5,2,ก็แลเปล่าเปลี่ยวไปน่าใจหาย
18,5,3,แสนสลดให้ระทดระทวยกาย
19,5,4,ไม่เหือดหายห่วงหวงเปนห่วงครัน
20,6,1,ถึงคลองขวางบางจากยิ่งตรมจิตร
21,6,2,ใครช่างคิดชื่อบางไว้กางกั้น
22,6,3,ว่าชื่อจากแล้วไม่รักรู้จักกัน
23,6,4,มิเคราะห์ครันฤๅมาพ้องกับคลองบาง
24,7,1,ทั้งจากที่จากคลองเปนสองข้อ
25,7,2,ยังจากกอนั้นก็ขึ้นในคลองขวาง
26,7,3,โอ้ว่าจากช่างมารวบประจวบทาง
27,7,4,ทั้งจากบางจากไปใจระบม
28,8,1,แสนวิบากหลากใจอาไลยเหลียว
29,8,2,เห็นเวียงวังก็ยิ่งเสียวถึงเคยสม
30,8,3,ประสานสองหัดถ์ประนังตั้งประนม
31,8,4,น้อมบังคมเทวารักษาวัง
32,9,1,ขอฝากน้องสองชนกช่วยปกเกษ
33,9,2,อย่ามีเหตุอันตรายเมื่อภายหลัง
34,9,3,ใครปองชิงขอให้ตายด้วยลายชัง
35,9,4,เทพทั้งชั้นฟ้าได้ปรานี
36,10,1,ถึงสามเสนแจ้งความตามสำเหนียก
37,10,2,เมื่อแรกเรียกสามแสนทั้งกรุงศรี
38,10,3,ประชุมฉุดพุทธรูปในวารี
39,10,4,ไม่เคลื่อนที่ชลธารบาดาลดิน
40,11,1,จึงสาปนามสามแสนเปนชื่อคุ้ง
41,11,2,เออชาวกรุงกลับเรียกสามเสนสิ้น
42,11,3,นี่ฤๅรักจะมิน่าเปนราคิน
43,11,4,แต่ชื่อดินเจียวยังกลายเปนหลายคำ
44,12,1,ขอใจนุชที่ฉันสุจริตรัก
45,12,2,ให้แน่นหนักเหมือนพุทธรูปเลขาขำ
46,12,3,ถึงแสนคนจะมาวอนชอ้อนนำ
47,12,4,สักแสนคำอย่าให้เคลื่อนจงเหมือนใจ
48,13,1,ถึงบางพลัดยิ่งอนัตอนาถจิตร
49,13,2,นิ่งพินิจนึกน่าน้ำตาไหล
50,13,3,พี่พลัดนางร้างรักมาแรมไกล
51,13,4,ประเดี๋ยวใจพบบางริมทางจร
52,14,1,ถึงบางซื่อชื่อบางนี้สุจริต
53,14,2,เหมือนซื่อจิตรที่พี่ตรงจำนงสมร
54,14,3,มิตจิตรขอให้มิตใจจร
55,14,4,ใจสมรขอให้ซื่อเหมือนชื่อบาง
