line,verse,part,text
1,1,2,โอ้สังเวชวาศนานิจาเอ๋ย
2,1,3,จะมีคู่มิได้อยู่ประคองเชย
3,1,4,ต้องละเลยดวงใจไว้ไกลตา
4,2,1,ถึงทุกข์ใครในโลกที่โศกเศร้า
5,2,2,ไม่เหมือนเราภุมรินถวิลหา
6,2,3,จะพลัดพรากจากกันไม่ทันลา
7,2,4,ใช้แต่ตาต่างถ้อยสุนทรวอน
8,3,1,โอ้จำใจไกลนุชสุดสวาดิ
9,3,2,จึงนิราศเรื่องรักเปนอักษร
10,3,3,ให้เห็นอกตกยากเมื่อจากจร
11,3,4,ไปดงดอนแดนป่าพนาวัน
12,4,1,กับศิษย์น้องสองนายล้วนชายหนุ่ม
13,4,2,น้อยกับพุ่มเพื่อนไร้ในไพรสัณฑ์
14,4,3,กับนายแสงแจ้งทางกลางอารัญ
15,4,4,จะพากันแรมทางไปต่างเมือง
16,5,1,ถึงยามสองล่องลำนาวาเลื่อน
17,5,2,พอดวงเดือนดั้นเมฆขึ้นเหลืองเหลือง
18,5,3,ถึงวัดแจ้งแสงจันทร์จำรัสเรือง
19,5,4,แลชำเลืองเหลียวหลังหลั่งน้ำตา
20,6,1,เปนห่วงหนึ่งถึงชนกที่ปกเกล้า
21,6,2,จะแสนเศร้าครวญคอยละห้อยหา
22,6,3,ทั้งจากแดนแสนห่วงดวงกานดา
23,6,4,โอ้อุรารุ่มร้อนอ่อนกำลัง
24,7,1,ถึงสามปลื้มพี่นี้ร่ำปล้ำแต่ทุกข์
25,7,2,สุดจะปลุกใจปลื้มให้ลืมหลัง
26,7,3,ขออารักษ์หลักประเทศนิเวศวัง
27,7,4,เทพทั้งเมืองฟ้าสุราไลย
28,8,1,ขอฝากน้องสองรามารดาด้วย
29,8,2,เอ็นดูช่วยปกครองให้ผ่องใส
30,8,3,ตัวข้าบาทจะนิราศออกแรมไพร
31,8,4,ให้พ้นไภยคลาศแคล้วอย่าแผ้วพาน
32,9,1,ถึงสำเพ็งเก๋งตั้งริมฝั่งน้ำ
33,9,2,แพประจำจอดเรียงเคียงขนาน
34,9,3,มีซุ้มซอกตรอกนางจ้างประจาน
35,9,4,ยังสำราญร้องขับไม่หลับลง
36,10,1,โอ้ธานีศรีอยุธยาเอ๋ย
37,10,2,นึกจะเชยก็ได้ชมสมประสงค์
38,10,3,จะลำบากยากแค้นไปแดนดง
39,10,4,เอาพุ่มพงเพิงเขาเปนเย่าเรือน
40,11,1,ถึงย่านยาวดาวคนองคนึงนิ่ง
41,11,2,ยิ่งดึกยิ่งเสียใจใครจะเหมือน
42,11,3,พระพายพานส้านเสียวทรวงสเทือน
