line,verse,part,text
1,1,2,โอ้รอนรอนอ่อนแสงพระสุริฉาย
2,1,3,ท้องฟ้าคล้ำน้ำค้างลงพร่างพราย
3,1,4,พระพายชายชื่นเชยรำเพยพาน
4,2,1,อนาถหนาวคราวอาสาเสด็จ
5,2,2,ไปเมืองเพ็ชร์บุรินที่ถิ่นสถาน
6,2,3,ลงนาวาหน้าวัดนมัสการ
7,2,4,อธิษฐานถึงคุณกรุณา
8,3,1,ช่วยชุบเลี้ยงเพียงชนกที่ปกเกศ
9,3,2,ถึงต่างเขตรของประสงค์คงอาสา
10,3,3,จึงจดหมายรายทางกลางคงคา
11,3,4,แต่นาวาเลี้ยวล่องเข้าคลองน้อย
12,4,1,ได้เห็นแต่แพแขกที่แปลกเพศ
13,4,2,ขายเครื่องเทศเครื่องไทยได้ใช้สอย
14,4,3,ถึงวัดหงส์เห็นแต่หงส์เสาธงลอย
15,4,4,เปนหงส์ห้อยห่วงธงใช่หงส์ทอง
16,5,1,ถึงวัดพลับลับลี้เปนที่สงัด
17,5,2,เห็นแต่วัดสังข์กระจายไม่วายหมอง
18,5,3,เหมือนกระจายพรายพลัดกำจัดน้อง
19,5,4,มาถึงคลองบางลำเจียกสำเนียกนาม
20,6,1,ลำเจียกเอ๋ยเคยชื่นระรื่นรส
21,6,2,ต้องจำอดออมระอาด้วยหนาหนาม
22,6,3,ถึงคลองเตยเตยแตกใบแฉกงาม
23,6,4,คิดถึงยามปลูกรักมักเปนเตย
24,7,1,จนไม่มีที่รักเปนหลักแหล่ง
25,7,2,ต้องคว้างแคว้งคว้าหานิจาเอ๋ย
26,7,3,โอ้เปลี่ยวใจไร้รักที่จักเชย
27,7,4,ชมแต่เตยแตกหนามเมื่อยามโซ
28,8,1,ถึงบางหลวงล่วงล่องเข้าคลองเล็ก
29,8,2,ล้วนบ้านเจ๊กขายหมูอยู่อักโข
30,8,3,เมียขาวขาวสาวสวยล้วนรายโป
31,8,4,หัวอกโอ้อายใจมิใช่เล็ก
32,9,1,ไทยเหมือนกันครั้นว่าขอเอาหอห้อง
33,9,2,ต้องขัดข้องแขงกระด้างเหมือนอย่างเหล็ก
34,9,3,มีเงินงัดคัดง้างเหมือนอย่างเจ๊ก
35,9,4,ถึงลวดเหล็กลนร้อนอ่อนละไม
36,10,1,ถึงวัดบางนางชีมีแต่สงฆ์
37,10,2,ไม่เห็นองค์นางชีอยู่ที่ไหน
38,10,3,ฤๅหลวงชีมีบ้างเปนอย่างไร
39,10,4,คิดจะใคร่แวะหาปฤกษาชี
40,11,1,ก็มืดค่ำอำลาทิพาวาส
41,11,2,เลยลีลาสล่วงทางกลางวิถี
42,11,3,ถึงวัดบางนางนองแม้นน้องมี
43,11,4,มาถึงที่ก็จะต้องนองน้ำตา
44,12,1,ตัวคนเดียวเที่ยวเล่นไม่เปนห่วง
45,12,2,แต่เศร้าทรวงสุดหวังที่ฝั่งฝา
46,12,3,ที่เห็นเห็นเปนแต่ปะได้ประตา
47,12,4,ก็ลอบรักลักลาคิดอาไลย
48,13,1,จะแลเหลียวเปลี่ยวเนตรเปนเขตรสวน
49,13,2,มะม่วงพรวนหมากมะพร้าวสาวสาวไสว
50,13,3,พฤกษาออกดอกลูกเขาปลูกไว้
51,13,4,หอมดอกไม้กลิ่นกลบอบลออง
52,14,1,โอ้รื่นรื่นชื่นเชยเช่นเคยหอม
53,14,2,เคยถนอมนวลปรางมาหมางหมอง
54,14,3,ถึงบางหว้าอารามนามจอมทอง
55,14,4,ดูเรืองรองรุ่งโรจน์ที่โบสถ์ราม
