line,verse,part,text
1,1,2,ถวิลวันจันทร์ทิวาขึ้นห้าค่ำ
2,1,3,ลงนาวาคลาเคลื่อนออกเลื่อนลำ
3,1,4,พอฆ้องย่ำยามสองกลองประโคม
4,2,1,น้ำค้างย้อยพรอยพรมเปนลมว่าว
5,2,2,อนาถหนาวนึกเคยได้เชยโฉม
6,2,3,มาสูญเหมือนเดือนดับพยับโพยม
7,2,4,ให้ทุกขโทมนัสในฤทัยครวญ
8,3,1,โอ้น่าหนาวคราวนี้เปนที่สุด
9,3,2,จะจากนุชแนบข้างไปห่างหวน
10,3,3,นิราศร้างห่างเหให้เรรวน
11,3,4,มิได้ชวนเจ้าไปชมประธมประโทน
12,4,1,ที่ปลูกรักจักได้ชื่นทุกคืนค่ำ
13,4,2,ก็เตี้ยต่ำตายฝอยกรองกร๋อยโกร๋น
14,4,3,ที่ชื่นเชยเคยรักเหมือนหลักประโคน
15,4,4,ก็หักโค่นขาดสูญประยูรวงศ
16,5,1,ยังเหลือแต่แม่ศรีสาครอยู่
17,5,2,ไปสิงสู่เสน่หานางเสาหงส์
18,5,3,จะเชิญเจ้าเท่าไรก็ไม่ลง
19,5,4,ให้คนทรงเสียใจมิได้เชย
20,6,1,วัดระฆังตั้งแต่เสร็จสำเร็จศพ
21,6,2,ไม่พานพบภคินีเจ้าพี่เอ๋ย
22,6,3,โอ้แลเหลียวเปลี่ยวใจกระไรเลย
23,6,4,มาชวดเชยโฉมหอมถนอมนวล
24,7,1,จนนาวาคลาล่องเข้าคลองขวาง
25,7,2,ตำบลบางกอกน้อยละห้อยหวน
26,7,3,ตลาดแพแลตลอดเขาทอดพรวน
27,7,4,แลแต่ล้วนเรือตลาดไม่ขาดคราว
28,8,1,ทุกเรือนแพแลลับระงับเงียบ
29,8,2,ยิ่งเย็นเยียบยามดึกให้นึกหนาว
30,8,3,ในอากาศกลาดเกลื่อนด้วยเดือนดาว
31,8,4,เปนลมว่าวเฉื่อยฉิวหวิวหัวใจ
32,9,1,โอ้บางกอกกอกเลือดให้เหือดโรค
33,9,2,อันความโศกนี้จะกอกออกที่ไหน
34,9,3,แม้นได้แก้วแววตามายาใจ
35,9,4,แล้วก็ไม่พักกอกดอกจริงจริง
36,10,1,ดูวังหลังยังไม่ลืมที่ปลื้มจิตร
37,10,2,เคยมีมิตรมากมายทั้งชายหญิง
38,10,3,เมื่อยามดึกนึกถึงที่พึ่งพิง
39,10,4,อนาถนิ่งนึกน่าน้ำตานอง
40,11,1,บางว้าน้อยน้อยจิตรด้วยพิสมัย
41,11,2,น้อยฤๅใจจืดจางให้หมางหมอง
42,11,3,หมายว่ารักจักได้พึ่งเหมือนหนึ่งน้อง
43,11,4,ให้เจ้าของขายหน้าทั้งตาปี
44,12,1,ถึงวัดทองหมองเศร้าให้เหงาเงียบ
45,12,2,เย็นยะเยียบหย่อมหญ้าป่าช้าผี
46,12,3,สงสารฉิมนิ่มน้องสองนารี
47,12,4,มาปลงที่เมรุทองทั้งสองคน
48,13,1,ขอบุญญาอานิสงส์จำนงสนอง
49,13,2,ช่วยส่งสองศรีสวัสดิ์ให้ปฏิสนธิ์
50,13,3,ศิวาลัยไตรภพจบสกล
51,13,4,ประจวบจนได้พบประสบกัน
52,14,1,ทั้งแก้วเนตรเกสรามณฑาทิพย์
53,14,2,จงลอยลิบลุล่วงถึงสรวงสวรรค์
54,14,3,จะเกิดไหนได้อยู่คู่ชีวัน
55,14,4,อย่ามีอันตรายเปนเหมือนเช่นนี้
56,15,1,วัดปะขาวขาวเหลือเชื่อไม่ได้
57,15,2,ด้วยดวงใจเจ้านั้นคล้ำดำมิดหมี
58,15,3,แม้นแม่ม่ายขาวโศกโฉลกมี
59,15,4,เหมือนแม่ศรีสาครฉะอ้อนเอว
60,16,1,โอ้เคราะห์กรรมจำคลาศนิราศร้าง
61,16,2,เพราะขัดขวางความในเหมือนไขว่เฉลว
62,16,3,ทั้งเกลียดสิ้นนินทาพาลาเลว
