line,verse,part,text
1,1,2,วันประหัศพัทเพียรเขียนอักษร
2,1,3,เป็นเรื่องความตามติดท่านบิดร
3,1,4,คราจักจรจากนิเวศเชตุพน
4,2,1,ได้ออกเรือเมื่อตะวันสายัณห์ย่ำ
5,2,2,ละอองนํ้าค้างย้อยดังฝอยฝน
6,2,3,ตะลึงเหลียวเปลี่ยวเปล่าเมื่อคราวจน
7,2,4,ไม่มีคนเกื้อหนุนกรุณา
8,3,1,โอ้ธานีศรีอยุธย์มนุษย์แน่น
9,3,2,นับโกฏิแสนสาวแก่แซ่ภาษา
10,3,3,จะหารักสักคนพอปนยา
11,3,4,ไม่เห็นหน้านึกสะอื้นฝืนฤทัย
12,4,1,เสียแรงมีพี่ป้าหม่อมน้าสาว
13,4,2,ล้วนขาวขาวคำหวานน้ำตาลใส
14,4,3,อยู่ยานยืดจืดเปรี้ยวไปเจียวใจ
15,4,4,เหลืออาลัยลมปากจะจากจร
16,5,1,ถึงวัดระฆังบังคมบรมธาตุ
17,5,2,แทบพระบาทบุษบงองค์อัปสร
18,5,3,มิทันลับกัปกัลป์พุทธันดร
19,5,4,พระด่วนจรสู่สวรรคครรไล
20,6,1,ละสมบัติขัตติยาทั้งข้าบาท
21,6,2,โอ้อนาถนึกหน้านํ้าตาไหล
22,6,3,เป็นสูญลับนับปีแต่นี้ไป
23,6,4,เหลืออาลัยแล้วที่พระมีคุณ
24,7,1,ถึงจนยากบากมาเป็นข้าบาท
25,7,2,ไม่ขัดขาดข้าวเกลือช่วยเกื้อหนุน
26,7,3,ทรงศรัทธากล้าหาญในการบุญ
27,7,4,โอ้พระคุณขาดยศทั้งงดงาม
28,8,1,แม้นตกยากพรากพลัดไปขัดข้อง
29,8,2,พัดกับน้องหนูตาบจะหาบหาม
30,8,3,นี่จนใจไปป่าช้าพนาราม
31,8,4,สุดจะตามตาบได้ดังใจจง
32,9,1,ขออยู่บวชตรวจน้ำสุรำมฤต
33,9,2,อวยอุทิศผลผลาอานิสงส์
34,9,3,สนองคุณพูนสวัสดิ์ขัตติยวงศ์
35,9,4,เป็นรถทรงสู่สถานวิมานแมน
36,10,1,มีสุรางค์นางขับสำหรับกล่อม
37,10,2,ล้วนเนี้อหอมน้อมเกล้าอยู่เฝ้าแหน
38,10,3,เสวยรมย์สมมนัสไม่ขัดแคลน
39,10,4,เป็นของแทนทานาฝ่าละออง
40,11,1,โอ้อก[๑๐]เอ๋ยเคยทนุป[๑๑]อุปถัมภ์
41,11,2,ได้อิ่มหนำคํ่าเช้าไม่เศร้าหมอง
42,11,3,แม้นทูลลามาอย่าง[๑๒]นี้ทั้งพี่น้อง
43,11,4,ไหนจะต้องอดอยากลำบากกาย
44,12,1,นี่สิ้นบุญทูนกระหม่อมจึงตรอมอก
45,12,2,ออก[๑๓]ระหกระเหินไปน่าใจหาย
46,12,3,เห็นที่ปลงทรงสูญยังมูน[๑๔]ทราย
47,12,4,แสนเสียดายดังจะดิ้นสิ้นชีวัน
48,13,1,ทั้งหนูตาบกราบไหว้ร้องไห้ว่า
49,13,2,จะคมลาลับไปถึง[๑๕]ไพรสัณฑ์
50,13,3,เคยเวียนเฝ้าเกล้าจุกให้ทุกวัน
51,13,4,สารพันพึ่งพาไม่อาทร
52,14,1,ถึงปากง่ามนามบอกบางกอกน้อย
53,14,2,ยิ่งเศร้าสร้อยทรวงน้องดังต้องศร
54,14,3,เหมือนน้อยทรัพย์ลับหน้านิราจร
