line,verse,part,text
1,1,2,ควรมิควรจวนจะพรากจากสถาน
2,1,3,จึงเขียนความตามใจอาลัยลาน
3,1,4,ขอประทานโทษาอย่าราคี
4,2,1,ด้วยขอบคุณทูลกระหม่อมถนอมรัก
5,2,2,เหมือนผัดพักตร์ผิวหน้าเป็นราศี
6,2,3,เสด็จมาปราศรัยถึงในกุฎี
7,2,4,ดังวารีรดซาบอาบละออง
8,3,1,ทั้งการุญสุนทราคารวะ
9,3,2,ถวายพระวรองค์จำนงสนอง
10,3,3,ขอพึ่งบุญมุลิกาฝ่าละออง
11,3,4,พระหน่อสองสุริย์วงศ์ทรงศักดา
12,4,1,ด้วยเดี๋ยวนี้มิได้รองละอองบาท
13,4,2,จะนิราศแรมไปไพรพฤกษา
14,4,3,ต่อถึงพระวะษาอื่นจักคืนมา
15,4,4,พระยอดฟ้าสององค์จงเจริญ
16,5,1,อย่ารู้โรคโศกเศร้าเหมือนเขาอื่น
17,5,2,พระยศยืนยอดมนุษย์สุดสรรเสริญ
18,5,3,มธุรสชดช้อยให้พลอยเพลิน
19,5,4,จะต้องเหินห่างเหทุกเวลา
20,6,1,ไหนจะคิดพิศวงถึงองค์ใหญ่
21,6,2,ทั้งอาลัยองค์น้อยละห้อยหา
22,6,3,มิเจียมตัวกลัวพระราชอาชญา
23,6,4,จะใส่บ่าแบกวางข้างละองค์
24,7,1,พาเที่ยวชมยมนามหาสมุทร
25,7,2,เมืองมนุษย์นกไม้ไพรระหง
26,7,3,ต่อรอนรอนอ่อนอับพยับลง
27,7,4,จึงจะส่งเสด็จให้เข้าในวัง
28,8,1,แต่ครั้งนี้วิบากจากพระบาท
29,8,2,ใจจะขาดคิดหมายไม่วายหวัง
30,8,3,มิสูญลับดับจิตชีวิตยัง
31,8,4,จะเวียนบังคมบาทไม่ขาดปี
32,9,1,แม้นไปทัพจับศึกก็นึกมาด
33,9,2,จะรองบาทบงกชบทศรี
34,9,3,สู้อาสากว่าจะตายวายชีวี
35,9,4,ด้วยภักดีได้จริงทุกสิ่งอัน
36,10,1,ขอฉลองสองพระองค์ดำรงรักษ์
37,10,2,ช่วยฉุดชักชุบย้อมกระหม่อมฉัน
38,10,3,ให้ยืนเหมือนเดือนดวงพระสุริยัน
39,10,4,เป็นคืนวันเที่ยงธรรมไม่ลำเอียง
40,11,1,นิจจาเอ๋ยเคยรองละอองบาท
41,11,2,โปรดประภาษไพเราะเสนาะเสียง
42,11,3,แสนละม่อมน้อมพระองค์ดำรงเรียง
43,11,4,ดังเดือนเคียงแข่งคู่กับสุริยา
44,12,1,จงอยู่ดีศรีสวัสดิ์พิพัฒน์ผล
45,12,2,ให้พระชนม์ยั่งยืนหมื่นพรรษา
46,12,3,ได้สืบวงศ์พงศ์มกุฎอยุธยา
47,12,4,บำรุงราษฎร์ศาสนาถึงห้าพัน
48,13,1,เหมือนสององค์ทรงนามพระรามลักษณ์
49,13,2,เป็นปิ่นปักปกเกศทุกเขตขัณฑ์
50,13,3,ประจามิตรคิดร้ายวายชีวัน
51,13,4,เสวยชั้นฉัตรเฉลิมเป็นเจิมจอม
52,14,1,จะไปจากฝากสมเด็จพระเชษฐา
53,14,2,จงรักพระอนุชาอุตส่าห์ถนอม
54,14,3,พระองค์น้อยคอยประณตนิ่งอดออม
55,14,4,ทูลกระหม่อมครอบครองกันสององค์
56,15,1,อุตส่าห์เรียนเขียนอ่านบุราณราช
57,15,2,ไสยศาสตร์สงครามตามประสงค์
58,15,3,ลำดับศักดิ์จักรพรรดิขัตติวงศ์
59,15,4,อุตส่าห์ทรงจดจำให้ชำนาญ
60,16,1,ด้วยพระองค์ทรงสยมบรมนาถ
61,16,2,บังคับราชการสิ้นทุกถิ่นฐาน
62,16,3,กรมศักดิ์หลักชัยพระอัยการ
63,16,4,มนเทียรบาลพระบัญญัติตัดสำนวน
64,17,1,อนึ่งให้รู้สุภาษิตบัณฑิตพระร่วง
65,17,2,โคลงเพชรพวงผิดชอบทรงสอบสวน
66,17,3,ราชาศัพท์รับสั่งให้บังควร
67,17,4,ทราบให้ถ้วนถี่ไว้จะได้ทูล
68,18,1,ทั้งพุทธไสยไตรดาทวายุค
69,18,2,ให้ทราบทุกที่ถวิลบดินทร์สูรย์
70,18,3,พระยศศักดิ์จักเฉลิมให้เพิ่มพูน
71,18,4,ได้พึ่งทูลกระหม่อมของฉันสององค์
72,19,1,แม้นออกวังตั้งใจจะไปอยู่
73,19,2,สำหรับปูเสื่อสาดคอยกวาดผง
74,19,3,ขอพึ่งบุญพูนสวัสดิ์เหมือนฉัตรธง
75,19,4,ได้ดำรงร่มเกล้าทั้งเช้าเย็น
76,20,1,แต่ยามนี้มีกรรมจะจำจาก
77,20,2,ด้วยแสนยากยังไม่มีที่จะเห็น
78,20,3,เพราะพระเจ้าเยาว์นักต้องรักเร้น
79,20,4,จึงจำเป็นจำพรากจำจากไป
80,21,1,ขอพระองค์จงเอ็นดูอย่ารู้ร้าง
81,21,2,ให้เหมือนอย่างเมรุมาศไม่หวาดไหว
82,21,3,อย่าหลงลิ้นหินชาติขาดอาลัย
83,21,4,น้ำพระทัยทูลเกล้าจงยาวยืน
84,22,1,ถึงร้อยปีมิได้มาก็อย่าแปลก
85,22,2,ให้เหมือนแรกเริ่มตรัสไม่ขัดขืน
86,22,3,เช่นงางอกออกไปมิได้คืน
87,22,4,จึงจักยืนยืดยาวดังกล่าวคำ
88,23,1,ของพระองค์ทรงยศเหมือนคชบาท
89,23,2,อย่าให้พลาดพลั้งเท้าก้าวถลำ
90,23,3,ระมัดโอษฐ์โปรดให้พระทัยจำ
91,23,4,จะเลิศล้ำลอยฟ้าสุราลัย
92,24,1,หนึ่งนักปราชญ์ราชครูซึ่งรู้หลัก
93,24,2,อย่าถือศักดิ์สนทนาอัชฌาสัย
94,24,3,อุตส่าห์ถามตามประสงค์จำนงใน
95,24,4,จึงจักได้รู้รอบประกอบการ
96,25,1,หนึ่งบรรดาข้าไทที่ใจซื่อ
97,25,2,จงนับถือถ่อมศักดิ์สมัครสมาน
98,25,3,หนึ่งคนมนตร์ขลังช่างชำนาญ
99,25,4,แม้พบพานผูกไว้เป็นไมตรี
