line,verse,part,text
1,1,2,สุนทรทำคำประดิษฐ์นิมิตฝัน
2,1,3,พึ่งพบเห็นเป็นวิบัติมหัศจรรย์
3,1,4,จึ่งจดวันเวลาด้วยอาวรณ์
4,2,1,แต่งไว้เหมือนเตือนใจจะได้คิด
5,2,2,ในนิมิตเมื่อภวังค์วิสังหรณ์
6,2,3,เดือนแปดวันจันทวาเวลานอน
7,2,4,เจริญพรภาวนาตามบาลี
8,3,1,ระลึกคุณบุญบวชตรวจกสิณ
9,3,2,ให้สุขสิ้นดินฟ้าทุกราศี
10,3,3,เงียบสงัดวัดวาในราตรี
11,3,4,เสียงเป็ดผีหวีหวีดจังหรีดเรียง
12,4,1,หริ่งหริ่งเรื่อยเฉื่อยชื่นสะอื้นอก
13,4,2,สำเนียงนกแสกแถกแสกแสกเสียง
14,4,3,เสียงแมงมุมอุ้มไข่มาใต้เตียง
15,4,4,ตีอกเพียงผึงผึงตะลึงฟัง
16,5,1,ฝ่ายฝูงหนูมูสิกกิกกิกร้อง
17,5,2,เสียวสยองยามยินถวิลหวัง
18,5,3,อนึ่งผึ้งซึ่งมาทำประจำรัง
19,5,4,ริมบานบังบินร้องสยองเย็น
20,6,1,ยิ่งเยือกทรวงง่วงเหงาซบเซาโศก
21,6,2,ยามวิโยคยากแค้นสุดแสนเข็ญ
22,6,3,ไม่เทียมเพื่อนเหมือนจะพาเลือดตากระเด็น
23,6,4,เที่ยวซ่อนเร้นไร้ญาติหวาดวิญญาณ์
24,7,1,แต่ปีวอกออกขาดราชกิจ
25,7,2,บรรพชิตพิศวาสพระศาสนา
26,7,3,เหมือนลอยล่องท้องชะเลอยู่เอกา
27,7,4,เห็นแต่ฟ้าฟ้าก็เปลี่ยวสุดเหลียวแล
28,8,1,ดูฟากฝั่งหวังจะหยุดก็สุดเนตร
29,8,2,แสนเทวษเวียนว่ายสายกระแส
30,8,3,เหมือนทรวงเปลี่ยวเที่ยวแสวงทุกแขวงแคว
31,8,4,ได้เห็นแต่ศิษย์หาพยาบาล
32,9,1,ทางบกเรือเหนือใต้เที่ยวไปทั่ว
33,9,2,จังหวัดหัวเมืองสิ้นทุกถิ่นฐาน
34,9,3,เมืองพริบพรีที่เขาทำรองน้ำตาล
35,9,4,รับประทานหวานเย็นก็เป็นลม
36,10,1,ไปราชพรีมีแต่พาลจังทานพระ
37,10,2,เหมือนไปปะบระเพ็ดเหลือเข็ดขม
38,10,3,ไปขึ้นเขาเล่าก็ตกอกระบม
39,10,4,ทุกข์ระทมแทบจะตายเสียหลายคราว
