line,verse,part,text
1,1,2,ข้าบาทขอประกาศประกอบเรื่อง
2,1,3,แต่ปางหลังยังมีบูรีเรือง
3,1,4,ชื่อว่าเมืองโกญจาสถาวร
4,2,1,นามพระองค์ซึ่งดำรงอาณาราษฎร์
5,2,2,อินณุมาศบพิตรอดิศร
6,2,3,พระนามนางเกศสุรางคนิกร
7,2,4,ชื่อจันทรแก้วกัลยาณี
8,3,1,แสนสนมหมื่นประนมประณตน้อม
9,3,2,ดังดาวล้อมจันทราในราศี
10,3,3,ทั้งเสนาพฤฒามาตย์ราชกวี
11,3,4,อัญชุลีเพียบพื้นพระโรงเรียง
12,4,1,สำราญรอบขอบคันนิคมเขต
13,4,2,ทั่วประเทศพิณพาทย์ไม่ขาดเสียง
14,4,3,สองพระองค์ทรงธรรมไม่ลำเอียง
15,4,4,ไร้แต่เพียงบุตราธิดาดวง
16,5,1,ว่ายังมีโจราอยู่ห้าร้อย
17,5,2,เที่ยวล่องลอยในมหาชลาหลวง
18,5,3,เห็นพาณิชน้อยใหญ่ไล่ทะลวง
19,5,4,เข้าชิงช่วงรบริบเอาเงินทอง
20,6,1,อ้ายนายใหญ่ได้เมียของพาณิช
21,6,2,มาเชยชิดสมสู่เป็นคู่สอง
22,6,3,จนเกิดบุตรสุดแสนสวาทปอง
23,6,4,เนื้อดังทองนรลักษณ์วิไลทรง
24,7,1,แต่ลูกมีจะไปตีตำแหน่งไหน
25,7,2,ก็ตีได้ดุจจิตคิดประสงค์
26,7,3,ยิ่งโลภลาภมิได้ขามเคยทะนง
27,7,4,เที่ยวณรงค์กลางทะเลละเลิงมา
28,8,1,จนลูกนั้นชันษาได้เจ็ดขวบ
29,8,2,กรรมประจวบโจรังจะสังขาร์
30,8,3,บุญกุมารจะได้ผ่านพระพารา
31,8,4,ถึงกรุงแก้วโกญจาเที่ยววงเวียน
32,9,1,เห็นเรือแพค้าขายก็ไล่จับ
33,9,2,เอาสินทรัพย์หมดสิ้นแล้วตัดเศียร
34,9,3,ไม่เข้าอ่าวก้าวแล่นไปเกาะเกียน
35,9,4,เป็นศึกเสี้ยนพาราอยู่ช้านาน
