line,verse,part,text
1,1,2,สุนทรทำคำสวัสดิรักษา
2,1,3,ถวายพระหน่อบพิตรอิศรา
3,1,4,ตามพระบาลีเฉลิมให้เพิ่มพูน
4,2,1,เป็นของคู่ผู้มีอิสริยยศ
5,2,2,จะปรากฏเกิดลาภไม่สาบสูญ
6,2,3,สืบอายุสุริย์วงศ์พงศ์ประยูร
7,2,4,ให้เพิ่มพูนภิญโญเดโชชัย
8,3,1,อย่าหลงลืมจงอุตส่าห์รักษาสิริ
9,3,2,ตามคติโบราณท่านขานไข
10,3,3,ว่าเช้าตรู่สุริโยอโณทัย
11,3,4,ตื่นนอนให้ห้ามโมโหอย่างโกรธา
12,4,1,ผินพักตร์สู่บูรพทิศแลทักษิณ
13,4,2,เสกวารินด้วยพระธรรมคาถา
14,4,3,ที่นับถือคือพระไตรสรณา
15,4,4,ถ้วนสามคราจึงชำระสระพระพักตร์
16,5,1,แล้วเอื้อนอรรถตรัสความที่ดีก่อน
17,5,2,จะถาวรพูนเกิดประเสริฐศักดิ์
18,5,3,ด้วยราศีที่ชะลอนรลักษณ์
19,5,4,อยู่พระพักตร์แต่ทิวาเวลากาล
20,6,1,ยามกลางวันนั้นว่าพระราศี
21,6,2,สถิตที่วรองค์ให้สรงสนาน
22,6,3,พระอุระประสุคนธ์วิมลมาลย์
23,6,4,จะสำราญโรคาไม่ราคี
24,7,1,ครั้นพลบค่ำคล้ำฟ้าสุธาวาส
25,7,2,ฝ่ายเบื้องบาทซ้ายขวาเป็นราศี
26,7,3,จงรดน้ำชำระซึ่งราคี
27,7,4,ห้ามสตรีอย่าให้พาดบาทยุคล
28,8,1,เสวยนั้นผันพระพักตร์ไปบูรพทิศ
29,8,2,เจริญฤทธิ์ชันษาสถาผล
30,8,3,แม้นผินพักตร์ทักษิณถิ่นมณฑล
31,8,4,ไม่ขาดคนรักใคร่เวียนไปมา
32,9,1,ทิศประจิมอิ่มเอมเกษมสุข
33,9,2,บรรเทาทุกข์ปรากฏด้วยยศถา
34,9,3,แต่ทิศเหนือเหลือร้ายวายชีวา
35,9,4,ทั้งชันษาทรุดน้อยถอยทุกปี
36,10,1,อนึ่งนั่งบังคนอย่ายลต่ำ
37,10,2,อย่าบ้วนน้ำลายพาเสียราศี
38,10,3,ผินพักตร์สู่อุดรประจิมดี
39,10,4,ไม่ต้องผีคุณไสยพ้นภัยพาล
40,11,1,แล้วสรงน้ำชำระพระนลาฏ
41,11,2,จึงผุดผาดผิวพรรณในสัณฐาน
42,11,3,เสด็จไหนให้สรงชลธาร
43,11,4,เป็นฤกษ์พารลูบไล้แล้วไคลคลา
44,12,1,อนึ่งพระองค์ทรงเจริญเพลินถนอม
45,12,2,อย่าให้หม่อมห้ามหลับทับหัตถา
46,12,3,ภิรมย์รสอตส่าห์สรงพระคงคา
47,12,4,เจริญราศีสวัสดิ์ขจัดภัย
48,13,1,อนึ่งวันชำระสระพระเกล้า
49,13,2,อังคารเสาร์สิ้นวิบัติปัดไถม
50,13,3,ตัดเล็บวันพุธจันทร์กันจังไร
51,13,4,เรียนสิ่งใดวันพฤหัสสวัสดี
52,14,1,อนึ่งภูษาผ้าทรงณรงค์รบ
53,14,2,ให้มีครบเครื่องเสร็จทั้งเจ็ดสี
54,14,3,วันอาทิตย์สิทธิโชคโฉลกดี
55,14,4,เอาเครื่องสีแดงทรงเป็นมงคล
